"gene_id","gene_name","padj"
"ENSG00000075073.15","TACR2",1.14244446994214e-35
"ENSG00000167676.4","PLIN4",1.99373921758587e-35
"ENSG00000181856.15","SLC2A4",1.99373921758587e-35
"ENSG00000077157.22","PPP1R12B",2.32900787013424e-32
"ENSG00000172403.11","SYNPO2",5.37492868852508e-32
"ENSG00000130176.8","CNN1",6.04542063209046e-24
"ENSG00000065534.19","MYLK",5.45756892460604e-22
"ENSG00000197361.8","FBXL22",5.94789758745998e-22
"ENSG00000162614.19","NEXN",7.93873943875679e-22
"ENSG00000182253.15","SYNM",8.8736361742181e-21
"ENSG00000101115.13","SALL4",1.74028478444979e-20
"ENSG00000137948.18","BRDT",1.8721809411105e-20
"ENSG00000091436.17","MAP3K20",2.12801437862036e-20
"ENSG00000095637.22","SORBS1",2.90880219942435e-20
"ENSG00000148200.17","NR6A1",3.89609125993165e-20
"ENSG00000183963.19","SMTN",4.78061716919254e-20
"ENSG00000121577.14","POPDC2",7.44113456079974e-20
"ENSG00000156804.7","FBXO32",1.15325520839281e-19
"ENSG00000133392.18","MYH11",1.24318787741122e-18
"ENSG00000134323.12","MYCN",2.71181809635393e-18
"ENSG00000163431.13","LMOD1",2.71181809635393e-18
"ENSG00000035403.18","VCL",8.59866742593515e-18
"ENSG00000149591.17","TAGLN",1.92787143851193e-17
"ENSG00000058668.15","ATP2B4",3.66496449774764e-17
"ENSG00000072163.20","LIMS2",7.99156850267285e-17
"ENSG00000167634.12","NLRP7",9.46742614501491e-17
"ENSG00000140416.23","TPM1",1.15557133180802e-16
"ENSG00000101057.16","MYBL2",1.49520930833917e-16
"ENSG00000170627.11","GTSF1",1.60157115998332e-16
"ENSG00000131142.13","CCL25",1.72527377171867e-16
"ENSG00000159176.14","CSRP1",1.72527377171867e-16
"ENSG00000145012.13","LPP",1.85508008593056e-16
"ENSG00000107796.13","ACTA2",4.26824924220339e-16
"ENSG00000136872.20","ALDOB",4.44344200362198e-16
"ENSG00000145936.9","KCNMB1",4.62229122867559e-16
"ENSG00000283567.1","C19orf85",5.1154169974925e-16
"ENSG00000135355.4","GJA10",1.50179031511121e-15
"ENSG00000152642.11","GPD1L",1.91146146789609e-15
"ENSG00000213889.10","PPM1N",2.51956518321342e-15
"ENSG00000077152.11","UBE2T",2.53697121109616e-15
"ENSG00000100490.9","CDKL1",2.53697121109616e-15
"ENSG00000168497.5","CAVIN2",2.87055274230542e-15
"ENSG00000285868.1","AC008676.3",3.22666449222262e-15
"ENSG00000095303.17","PTGS1",3.5644115940971e-15
"ENSG00000154678.18","PDE1C",3.97186865133068e-15
"ENSG00000135842.17","NIBAN1",1.55240774651168e-14
"ENSG00000162551.14","ALPL",1.64885578741965e-14
"ENSG00000157551.19","KCNJ15",1.81298264821227e-14
"ENSG00000163820.15","FYCO1",2.02494314374191e-14
"ENSG00000105641.4","SLC5A5",2.78863960893432e-14
"ENSG00000162433.15","AK4",2.92176533783604e-14
"ENSG00000174099.12","MSRB3",3.66636511254361e-14
"ENSG00000139351.15","SYCP3",3.70332358465522e-14
"ENSG00000101335.10","MYL9",6.17361669685173e-14
"ENSG00000163286.9","ALPG",6.17361669685173e-14
"ENSG00000112273.7","HDGFL1",6.35608479743339e-14
"ENSG00000050344.9","NFE2L3",6.46100969773067e-14
"ENSG00000111704.11","NANOG",6.46100969773067e-14
"ENSG00000115163.15","CENPA",6.50838934974314e-14
"ENSG00000181026.15","AEN",7.06832663275788e-14
"ENSG00000180432.6","CYP8B1",8.58185656045902e-14
"ENSG00000183696.14","UPP1",1.12451236449029e-13
"ENSG00000079308.19","TNS1",1.24412599083218e-13
"ENSG00000108106.14","UBE2S",1.24412599083218e-13
"ENSG00000102021.11","LUZP4",1.5607780900478e-13
"ENSG00000164045.12","CDC25A",1.80054187921069e-13
"ENSG00000130208.9","APOC1",1.93795535085592e-13
"ENSG00000198467.16","TPM2",2.25943457741027e-13
"ENSG00000258405.11","ZNF578",2.70519385155454e-13
"ENSG00000154839.10","SKA1",4.37104818965931e-13
"ENSG00000151650.8","VENTX",5.36690112578406e-13
"ENSG00000102096.9","PIM2",5.71083456582582e-13
"ENSG00000196924.19","FLNA",5.71083456582582e-13
"ENSG00000175832.13","ETV4",7.402541021233e-13
"ENSG00000058272.19","PPP1R12A",7.41679251764231e-13
"ENSG00000176979.14","TRIM60",7.45355951338082e-13
"ENSG00000169548.3","ZNF280A",9.12276105799948e-13
"ENSG00000164744.13","SUN3",1.25158352900449e-12
"ENSG00000131471.7","AOC3",1.29453519743408e-12
"ENSG00000129116.19","PALLD",1.39006800154613e-12
"ENSG00000183765.23","CHEK2",1.44941625840233e-12
"ENSG00000177398.18","UMODL1",1.72606896570071e-12
"ENSG00000119938.9","PPP1R3C",1.85397041396463e-12
"ENSG00000214107.8","MAGEB1",1.93197459806352e-12
"ENSG00000159055.4","MIS18A",1.94701252322087e-12
"ENSG00000082196.21","C1QTNF3",2.01691313994487e-12
"ENSG00000140682.19","TGFB1I1",2.10946245493495e-12
"ENSG00000146839.19","ZAN",2.43907303484393e-12
"ENSG00000130203.10","APOE",3.16666160571921e-12
"ENSG00000158683.9","PKD1L1",4.18138821175883e-12
"ENSG00000170684.9","ZNF296",4.79076463985227e-12
"ENSG00000141255.13","SPATA22",7.17381551596101e-12
"ENSG00000127423.11","AUNIP",7.68124889994431e-12
"ENSG00000105141.6","CASP14",8.7805306631477e-12
"ENSG00000163297.17","ANTXR2",9.98661008273226e-12
"ENSG00000111540.16","RAB5B",1.00984341219803e-11
"ENSG00000146670.10","CDCA5",1.03213063198171e-11
"ENSG00000174282.12","ZBTB4",1.03213063198171e-11
"ENSG00000178445.10","GLDC",1.1231635847201e-11
"ENSG00000122786.20","CALD1",1.66020746577001e-11
"ENSG00000255192.6","NANOGP8",1.68080366668394e-11
"ENSG00000099822.3","HCN2",1.71665688851271e-11
"ENSG00000117877.11","POLR1G",2.23157001475703e-11
"ENSG00000183747.12","ACSM2A",2.62020380424335e-11
"ENSG00000186871.7","ERCC6L",2.90745086962913e-11
"ENSG00000188883.5","KLRG2",2.90745086962913e-11
"ENSG00000072195.15","SPEG",3.03406595129741e-11
"ENSG00000158246.8","TENT5B",3.08160469567801e-11
"ENSG00000175084.12","DES",3.27396832136141e-11
"ENSG00000127561.15","SYNGR3",3.45871971934892e-11
"ENSG00000075702.18","WDR62",3.46131550678259e-11
"ENSG00000160224.17","AIRE",3.79899413551548e-11
"ENSG00000022556.16","NLRP2",4.03091566344438e-11
"ENSG00000160111.14","CPAMD8",4.06383508129676e-11
"ENSG00000240563.2","L1TD1",4.54424751020495e-11
"ENSG00000181274.7","FRAT2",5.18612728848355e-11
"ENSG00000279170.3","TSTD3",5.25525576060249e-11
"ENSG00000169635.10","HIC2",5.32163021517525e-11
"ENSG00000182521.5","TBPL2",6.26511800877995e-11
"ENSG00000203995.10","ZYG11A",6.41083240222604e-11
"ENSG00000240771.8","ARHGEF25",6.41083240222604e-11
"ENSG00000130204.13","TOMM40",6.85050614142528e-11
"ENSG00000103710.11","RASL12",6.91690257104559e-11
"ENSG00000176302.13","FOXR1",6.91690257104559e-11
"ENSG00000269343.9","ZNF587B",7.26648546709195e-11
"ENSG00000143452.16","HORMAD1",8.08652973273152e-11
"ENSG00000022267.19","FHL1",9.49556525943423e-11
"ENSG00000059915.17","PSD",9.6184591146515e-11
"ENSG00000106624.11","AEBP1",1.01748349488258e-10
"ENSG00000154229.12","PRKCA",1.01748349488258e-10
"ENSG00000139998.16","RAB15",1.02139976581277e-10
"ENSG00000163171.8","CDC42EP3",1.23353666716716e-10
"ENSG00000185792.10","NLRP9",1.23353666716716e-10
"ENSG00000163283.7","ALPP",1.23434716530411e-10
"ENSG00000171612.7","SLC25A33",1.41222416162123e-10
"ENSG00000121067.19","SPOP",1.50731733537855e-10
"ENSG00000181896.12","ZNF101",1.58467811062587e-10
"ENSG00000140798.16","ABCC12",1.6169293314608e-10
"ENSG00000242950.7","ERVW-1",1.68540970962726e-10
"ENSG00000099994.11","SUSD2",1.69233145003616e-10
"ENSG00000105370.8","LIM2",1.69268528056811e-10
"ENSG00000130940.15","CASZ1",1.74833673789731e-10
"ENSG00000197256.11","KANK2",2.00903423040422e-10
"ENSG00000179715.13","PCED1B",2.0099250514233e-10
"ENSG00000162399.9","BSND",2.06449914629576e-10
"ENSG00000273604.2","EPOP",2.79349024678893e-10
"ENSG00000197905.10","TEAD4",2.79776973792107e-10
"ENSG00000221866.9","PLXNA4",2.89737049951982e-10
"ENSG00000167600.14","CYP2S1",2.9820724347015e-10
"ENSG00000163440.12","PDCL2",3.00249305025748e-10
"ENSG00000129991.13","TNNI3",3.02807489355383e-10
"ENSG00000104147.9","OIP5",3.0443404976276e-10
"ENSG00000144554.12","FANCD2",3.10903049452278e-10
"ENSG00000204538.4","PSORS1C2",3.10903049452278e-10
"ENSG00000101605.13","MYOM1",3.28603328127837e-10
"ENSG00000134198.10","TSPAN2",3.28884333476632e-10
"ENSG00000160999.10","SH2B2",3.28884333476632e-10
"ENSG00000099821.14","POLRMT",3.34269885606220e-10
"ENSG00000076248.11","UNG",3.44423448036507e-10
"ENSG00000126249.8","PDCD2L",4.59968372041965e-10
"ENSG00000114767.7","RRP9",4.88939657518619e-10
"ENSG00000104804.8","TULP2",5.29641744230733e-10
"ENSG00000237521.3","OR7E24",5.29641744230733e-10
"ENSG00000104814.13","MAP4K1",5.38887268096669e-10
"ENSG00000077348.9","EXOSC5",5.75943203928378e-10
"ENSG00000087274.17","ADD1",6.35187117751344e-10
"ENSG00000123405.14","NFE2",6.3744185320974e-10
"ENSG00000213231.13","TCL1B",6.38008968414204e-10
"ENSG00000170653.19","ATF7",6.52445321787456e-10
"ENSG00000179954.16","SSC5D",6.52445321787456e-10
"ENSG00000204531.20","POU5F1",6.5499319205381e-10
"ENSG00000187808.5","SOWAHD",6.78858127230611e-10
"ENSG00000178409.14","BEND3",6.83849683509362e-10
"ENSG00000164512.18","ANKRD55",6.92670580379821e-10
"ENSG00000154143.3","PANX3",6.98605269050498e-10
"ENSG00000095002.15","MSH2",7.60105571346176e-10
"ENSG00000171385.10","KCND3",7.79784077254405e-10
"ENSG00000116544.12","DLGAP3",8.21831782852896e-10
"ENSG00000197124.12","ZNF682",8.48236592192259e-10
"ENSG00000132972.19","RNF17",8.68621215448794e-10
"ENSG00000215148.11","PRSS41",8.94398177212841e-10
"ENSG00000197614.11","MFAP5",9.32535610379633e-10
"ENSG00000147526.20","TACC1",9.97826191596536e-10
"ENSG00000161547.17","SRSF2",9.9789160006222e-10
"ENSG00000255639.3","AC005833.1",1.06987720742195e-09
"ENSG00000170748.7","RBMXL2",1.10119808880114e-09
"ENSG00000126453.9","BCL2L12",1.11527919374346e-09
"ENSG00000012822.16","CALCOCO1",1.25952290091461e-09
"ENSG00000198554.12","WDHD1",1.25952290091461e-09
"ENSG00000051180.17","RAD51",1.3236068138273e-09
"ENSG00000198523.6","PLN",1.35253173733782e-09
"ENSG00000106617.15","PRKAG2",1.4254015107997e-09
"ENSG00000166923.12","GREM1",1.44385319516952e-09
"ENSG00000189430.13","NCR1",1.50191318549015e-09
"ENSG00000101695.9","RNF125",1.6206199858869e-09
"ENSG00000149596.7","JPH2",1.6206199858869e-09
"ENSG00000135248.15","FAM71F1",1.69072471747023e-09
"ENSG00000126351.13","THRA",1.71053958195665e-09
"ENSG00000123243.15","ITIH5",1.78127072852753e-09
"ENSG00000116741.8","RGS2",1.81851493223081e-09
"ENSG00000141052.18","MYOCD",1.93161179114009e-09
"ENSG00000172380.6","GNG12",1.95740964217734e-09
"ENSG00000198915.12","RASGEF1A",1.97112229676429e-09
"ENSG00000156261.13","CCT8",2.01719911142032e-09
"ENSG00000173641.18","HSPB7",2.10524256601553e-09
"ENSG00000115241.11","PPM1G",2.15116377866492e-09
"ENSG00000099399.6","MAGEB2",2.16404313588907e-09
"ENSG00000085563.15","ABCB1",2.18187313580374e-09
"ENSG00000179361.18","ARID3B",2.24882837766902e-09
"ENSG00000133980.5","VRTN",2.25201875083243e-09
"ENSG00000139304.16","PTPRQ",2.43259993590754e-09
"ENSG00000130726.12","TRIM28",2.50869085636395e-09
"ENSG00000064547.14","LPAR2",2.56205652365512e-09
"ENSG00000169282.18","KCNAB1",2.57920969548712e-09
"ENSG00000136244.12","IL6",2.60542184203897e-09
"ENSG00000091651.9","ORC6",2.760488736817e-09
"ENSG00000206557.6","TRIM71",2.88406159975434e-09
"ENSG00000196449.4","YRDC",2.91625563237013e-09
"ENSG00000142910.16","TINAGL1",2.98468507595109e-09
"ENSG00000163017.14","ACTG2",3.06073619638495e-09
"ENSG00000101361.17","NOP56",3.0884060441933e-09
"ENSG00000196172.9","ZNF681",3.24029946908605e-09
"ENSG00000100884.9","CPNE6",3.27812392726228e-09
"ENSG00000147432.7","CHRNB3",3.33328906419061e-09
"ENSG00000006634.8","DBF4",3.45001351433393e-09
"ENSG00000204710.2","SPDYC",3.48398873108622e-09
"ENSG00000170819.5","BFSP2",3.58480593248289e-09
"ENSG00000204406.14","MBD5",3.58480593248289e-09
"ENSG00000171794.4","UTF1",3.66632163471591e-09
"ENSG00000173262.12","SLC2A14",3.66632163471591e-09
